Sample_ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06
Dose	0	0	0	0
APOC3_32553	6.387789145	5.707527694	6.097190174	6.160266816
IFNB1_32501	0	0	0	0
TAGLN2_9982	0.628462882	0.333417707	0.322470949	0.635011715
THBD_32575	0.510559049	0.604061331	0.585867144	0.528431582
ESM1_32480	0	0.10337572	0	0
FSHB_33074	0	0	0	0
SELE_32346	0	0	0	0
WDR12_10166	2.194966195	1.417593168	1.41673324	1.912554756
CASP8_32959	1.495553649	1.476548138	1.197926551	0.969710301
MDM2_9214	4.168648859	3.924886992	3.848013769	3.846132093
LOC102549198_33139	0	0	0.059002276	0.052225782
CYP2B3_32867	9.146419365	9.143252007	9.540978366	9.401204626
IL36B_33203	0.683987853	0.494224252	0.625444392	0.528431582
RATNP-3B_33299	0	0	0	0
RAD51C_9650	0.978575767	0.604061331	0.663964849	0.564840192
S100A13_9771	0.683987853	0.375330685	0.585867144	0.491080304
PLA2G2A_32641	0.683987853	0.919462529	0.369846694	0.452736243
SOX2_9919	0	0	0	0
CYP4A1_33111	6.307199875	6.022275638	5.764213513	5.989144779
PLOD3_9507	0.084958794	0.05261358	0.322470949	0.244055032
SPHK1_32682	0.084958794	0.05261358	0	0
CXCR4_8411	0	0.05261358	0.115686032	0.151326404
CNN1_32759	0	0.05261358	0	0
DCXR_8445	6.044935746	5.30030448	5.891409745	5.911752738
ABCC5_7942	1.556325569	1.376907411	1.566580609	1.241195996
ALDH7A1_8028	9.800208521	9.002826039	9.835005936	9.420192225
AADAC_7934	5.529502324	5.163470339	5.601329192	5.54795225
PLA1A_9490	1.18510941	0.975039294	1.031131771	1.195484622
ACOT9_7972	0	0	0	0.052225782
SLCO1C1_32799	0	0	0	0
COLEC12_32794	0.886904586	0.568370106	0.773714706	0.701927879
IDE_8862	5.24335405	4.916175399	5.015718314	5.17368378
ANKRD23_32357	0	0	0	0
USP14_10137	4.696562017	4.143785651	4.159064763	4.553768922
PRC1_9556	1.064768397	0.919462529	0.545173481	0.600352547
NDUFB8_33155	7.25115411	7.210983183	7.003160618	7.202357008
PTPN1_9616	0.16519148	0.05261358	0.115686032	0.151326404
SLC37A4_9871	6.095722412	6.256873996	6.142225146	6.439920554
LY86_9165	3.59697243	3.645477169	2.979648026	2.890295739
PSME1_9603	6.494518762	5.793124042	6.294232083	6.172853098
RXRA_32828	6.004615082	5.433980073	5.621042572	5.675175231
FOXO3_8662	3.274114756	2.935164923	2.971992622	3.239047994
IQGAP2_32488	0.084958794	0.10337572	0.115686032	0
CHP1_33118	0.737454798	0.738601744	0.970954249	1.074437425
IL1A_32861	1.365744944	1.707378312	1.48286796	1.732222092
CMTM7_32862	0.084958794	0.24575184	0.115686032	0.244055032
CD33_33256	0.447785131	0.24575184	0.115686032	0.102626845
EIF2AK2_8539	4.109042538	3.8073278	3.40617836	3.227738323
ACADSB_7959	4.955379584	3.945901382	4.768589317	4.664862762
PXN_9630	0	0.10337572	0.059002276	0.288276037
CYP11B2_32978	0	0	0	0
MSMO1_9252	4.239852193	3.803495161	4.278696774	3.996978277
PLOD2_9506	0.570715087	0.375330685	0.222780195	0.413345181
MALT1_9176	1.18510941	1.105279311	0.939897245	0.942295994
PLEKHJ1_9499	0.978575767	0.919462529	0.939897245	1.14827737
NGRN_33016	0.570715087	0.199836801	0.503298585	0.452736243
CEBPD_8283	4.554829038	3.768535374	3.792593266	4.074783165
MRPS2_9250	1.432108771	1.054585296	0.939897245	1.307157037
YWHAZ_10194	5.771388651	4.577702947	5.495840376	5.495869055
JAG1_32778	1.260098706	0.738601744	0.738051098	0.996613377
TSPAN3_10095	1.922290173	1.976079948	1.843258095	2.146750433
DCP1B_33178	1.464179943	1.201617352	1.274609041	1.124081556
WDTC1_10172	4.648523329	4.113149064	4.357196488	4.388401471
DYNLRB2_33097	0	0	0	0
SOAT1_33217	1.801967875	1.533188231	1.393997023	1.854912604
